date	importe	actividad	centro	quien
27/07/16	4777698.65	CERTIFICACIÓN Nº 97 - MAYO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
21/06/16	4702463.78	CERTIFICACIÓN Nº 96 - ABRIL 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
30/03/16	4696420.92	CERTIFICACIÓN Nº 92 - DICIEMBRE 2015 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
31/05/16	4654693.53	CERTIFICACIÓN Nº 95 - MARZO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
29/04/16	4650512.81	CERTIFICACIÓN Nº 93 - ENERO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
26/02/16	4535080.03	CERTIFICACIÓN Nº 91 - NOVIEMBRE 2015 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
17/05/16	4458833.43	CERTIFICACIÓN Nº 94 - FEBRERO 2016 - LIMPIEZA, RECOGIDAY TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
26/08/16	4374013.83	CERTIFICACIÓN Nº 98 - JUNIO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
30/09/16	4351324.36	CERTIFICACIÓN Nº 99 - JULIO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA
11/03/16	3572965.39	CERTIFICACIÓN 1/2016. 1 OCTUBRE A 31 DICIEMBRE 2015. LÍNEA 1 TRANVÍA.	SERVICIO DE MOVILIDAD URBANA	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA
